"","kods","teritorija","Year","FDI","Subject","Measure"
"363","BS","Bahamu salas","2005",10,"INWARD","MLN_EUR"
"364","BS","Bahamu salas","2006",5,"INWARD","MLN_EUR"
"365","BS","Bahamu salas","2007",0,"INWARD","MLN_EUR"
"366","BS","Bahamu salas","2008",0,"INWARD","MLN_EUR"
"367","BS","Bahamu salas","2009",0,"INWARD","MLN_EUR"
"368","BS","Bahamu salas","2010",15,"INWARD","MLN_EUR"
"369","BS","Bahamu salas","2011",21,"INWARD","MLN_EUR"
"370","BS","Bahamu salas","2012",0,"INWARD","MLN_EUR"
"371","BS","Bahamu salas","2013",0,"INWARD","MLN_EUR"
"372","BS","Bahamu salas","2014",NA,"INWARD","MLN_EUR"
"373","BS","Bahamu salas","2015",NA,"INWARD","MLN_EUR"
"374","BS","Bahamu salas","2016",0,"INWARD","MLN_EUR"
"375","BS","Bahamu salas","2017",0,"INWARD","MLN_EUR"
"376","BS","Bahamu salas","2018",0,"INWARD","MLN_EUR"
"377","BS","Bahamu salas","2019",NA,"INWARD","MLN_EUR"
"378","BS","Bahamu salas","2020",NA,"INWARD","MLN_EUR"
"379","BY","Baltkrievija","2000",3,"INWARD","MLN_EUR"
"380","BY","Baltkrievija","2001",3,"INWARD","MLN_EUR"
"381","BY","Baltkrievija","2002",3,"INWARD","MLN_EUR"
"382","BY","Baltkrievija","2003",2,"INWARD","MLN_EUR"
"383","BY","Baltkrievija","2004",4,"INWARD","MLN_EUR"
"384","BY","Baltkrievija","2005",5,"INWARD","MLN_EUR"
"385","BY","Baltkrievija","2006",7,"INWARD","MLN_EUR"
"386","BY","Baltkrievija","2007",6,"INWARD","MLN_EUR"
"387","BY","Baltkrievija","2008",10,"INWARD","MLN_EUR"
"388","BY","Baltkrievija","2009",10,"INWARD","MLN_EUR"
"389","BY","Baltkrievija","2010",8,"INWARD","MLN_EUR"
"390","BY","Baltkrievija","2011",13,"INWARD","MLN_EUR"
"391","BY","Baltkrievija","2012",18,"INWARD","MLN_EUR"
